#SampleID,SampleName,Trial,Treatment,SampleNumber,Tank_Replicate,Type,Num,Name,Hatchery,UV_NUV,Condition,Sample Type,Location
RS301_S17,VIMS1_CONA_1,T1,C,1,A,UV,1,T1,VIMS,N,C_UV,Larvae,Virginia
RS302_S29,VIMS1_CONA_2,T1,C,2,A,UV,1,T1,VIMS,N,C_UV,Larvae,Virginia
RS303_S41,VIMS1_CONA_3,T1,C,3,A,UV,1,T1,VIMS,N,C_UV,Larvae,Virginia
RS304_S53,VIMS1_CONB_1,T1,C,4,B,UV,2,T1,VIMS,N,C_UV,Larvae,Virginia
RS305_S65,VIMS1_CONB_2,T1,C,5,B,UV,2,T1,VIMS,N,C_UV,Larvae,Virginia
RS306_S77,VIMS1_CONB_3,T1,C,6,B,UV,2,T1,VIMS,N,C_UV,Larvae,Virginia
RS307_S89,VIMS1_CONC_1,T1,C,7,C,UV,3,T1,VIMS,N,C_UV,Larvae,Virginia
RS308_S101,VIMS1_CONC_2,T1,C,8,C,UV,3,T1,VIMS,N,C_UV,Larvae,Virginia
RS309_S18,VIMS1_CONC_3,T1,C,9,C,UV,3,T1,VIMS,N,C_UV,Larvae,Virginia
RS319_S43,VIMS1_S4A_1,T1,S4,10,A,UV,4,T1,VIMS,N,S4_UV,Larvae,Virginia
RS320_S55,VIMS1_S4A_2,T1,S4,11,A,UV,4,T1,VIMS,N,S4_UV,Larvae,Virginia
RS321_S67,VIMS1_S4A_3,T1,S4,12,A,UV,4,T1,VIMS,N,S4_UV,Larvae,Virginia
RS322_S79,VIMS1_S4B_1,T1,S4,13,B,UV,5,T1,VIMS,N,S4_UV,Larvae,Virginia
RS323_S91,VIMS1_S4B_2,T1,S4,14,B,UV,5,T1,VIMS,N,S4_UV,Larvae,Virginia
RS324_S103,VIMS1_S4B_3,T1,S4,15,B,UV,5,T1,VIMS,N,S4_UV,Larvae,Virginia
RS325_S20,VIMS1_S4C_1,T1,S4,16,C,UV,6,T1,VIMS,N,S4_UV,Larvae,Virginia
RS326_S32,VIMS1_S4C_2,T1,S4,17,C,UV,6,T1,VIMS,N,S4_UV,Larvae,Virginia
RS327_S44,VIMS1_S4C_3,T1,S4,18,C,UV,6,T1,VIMS,N,S4_UV,Larvae,Virginia
RS328_S56,VIMS1_S4D_1,T1,S4,19,D,UV,7,T1,VIMS,N,S4_UV,Larvae,Virginia
RS329_S68,VIMS1_S4D_2,T1,S4,19,D,UV,7,T1,VIMS,N,S4_UV,Larvae,Virginia
RS330_S80,VIMS1_S4D_3,T1,S4,21,D,UV,7,T1,VIMS,N,S4_UV,Larvae,Virginia
RS331_S92,VIMS1_S4E_1,T1,S4,22,E,UV,8,T1,VIMS,N,S4_UV,Larvae,Virginia
RS332_S104,VIMS1_S4E_2,T1,S4,23,E,UV,8,T1,VIMS,N,S4_UV,Larvae,Virginia
RS333_S21,VIMS1_S4E_3,T1,S4,24,E,UV,8,T1,VIMS,N,S4_UV,Larvae,Virginia
RS334_S33,VIMS1_S4F_1,T1,S4,25,F,UV,9,T1,VIMS,N,S4_UV,Larvae,Virginia
RS335_S45,VIMS1_S4F_2,T1,S4,26,F,UV,9,T1,VIMS,N,S4_UV,Larvae,Virginia
RS336_S57,VIMS1_S4F_3,T1,S4,27,F,UV,9,T1,VIMS,N,S4_UV,Larvae,Virginia
RS337_S69,VIMS2_CONA_1,T2,C,28,A,UV,10,T2,VIMS,N,C_UV,Larvae,Virginia
RS338_S81,VIMS2_CONA_2,T2,C,29,A,UV,10,T2,VIMS,N,C_UV,Larvae,Virginia
RS339_S93,VIMS2_CONA_3,T2,C,30,A,UV,10,T2,VIMS,N,C_UV,Larvae,Virginia
RS340_S105,VIMS2_CONB_1,T2,C,31,B,UV,11,T2,VIMS,N,C_UV,Larvae,Virginia
RS341_S22,VIMS2_CONB_2,T2,C,32,B,UV,11,T2,VIMS,N,C_UV,Larvae,Virginia
RS342_S34,VIMS2_CONB_3,T2,C,33,B,UV,11,T2,VIMS,N,C_UV,Larvae,Virginia
RS343_S46,VIMS2_CONC_1,T2,C,34,C,UV,12,T2,VIMS,N,C_UV,Larvae,Virginia
RS344_S58,VIMS2_CONC_2,T2,C,35,C,UV,12,T2,VIMS,N,C_UV,Larvae,Virginia
RS345_S70,VIMS2_CONC_3,T2,C,36,C,UV,12,T2,VIMS,N,C_UV,Larvae,Virginia
RS355_S95,VIMS2_S4A_1,T2,S4,37,A,UV,13,T2,VIMS,N,S4_UV,Larvae,Virginia
RS356_S107,VIMS2_S4A_2,T2,S4,38,A,UV,13,T2,VIMS,N,S4_UV,Larvae,Virginia
RS357_S24,VIMS2_S4A_3,T2,S4,39,A,UV,13,T2,VIMS,N,S4_UV,Larvae,Virginia
RS358_S36,VIMS2_S4B_1,T2,S4,40,B,UV,14,T2,VIMS,N,S4_UV,Larvae,Virginia
RS359_S48,VIMS2_S4B_2,T2,S4,41,B,UV,14,T2,VIMS,N,S4_UV,Larvae,Virginia
RS360_S60,VIMS2_S4B_3,T2,S4,42,B,UV,14,T2,VIMS,N,S4_UV,Larvae,Virginia
RS361_S72,VIMS2_S4C_1,T2,S4,43,C,UV,15,T2,VIMS,N,S4_UV,Larvae,Virginia
RS362_S84,VIMS2_S4C_2,T2,S4,44,C,UV,15,T2,VIMS,N,S4_UV,Larvae,Virginia
RS363_S96,VIMS2_S4C_3,T2,S4,45,C,UV,15,T2,VIMS,N,S4_UV,Larvae,Virginia
ET201_S1,VIMS3_CONA_1,T3,C,46,A,UV,16,T3,VIMS,N,C_UV,Larvae,Virginia
ET202_S13,VIMS3_CONA_2,T3,C,47,A,UV,16,T3,VIMS,N,C_UV,Larvae,Virginia
ET203_S25,VIMS3_CONA_3,T3,C,48,A,UV,16,T3,VIMS,N,C_UV,Larvae,Virginia
ET204_S37,VIMS3_CONB_1,T3,C,49,B,UV,17,T3,VIMS,N,C_UV,Larvae,Virginia
ET205_S49,VIMS3_CONB_2,T3,C,50,B,UV,17,T3,VIMS,N,C_UV,Larvae,Virginia
ET206_S61,VIMS3_CONB_3,T3,C,51,B,UV,17,T3,VIMS,N,C_UV,Larvae,Virginia
ET207_S73,VIMS3_CONC_1,T3,C,52,C,UV,18,T3,VIMS,N,C_UV,Larvae,Virginia
ET208_S85,VIMS3_CONC_2,T3,C,53,C,UV,18,T3,VIMS,N,C_UV,Larvae,Virginia
ET209_S2,VIMS3_CONC_3,T3,C,54,C,UV,18,T3,VIMS,N,C_UV,Larvae,Virginia
ET210_S14,VIMS3_COND_1,T3,C,55,D,UV,19,T3,VIMS,N,C_UV,Larvae,Virginia
ET211_S26,VIMS3_COND_2,T3,C,56,D,UV,19,T3,VIMS,N,C_UV,Larvae,Virginia
ET212_S38,VIMS3_COND_3,T3,C,57,D,UV,19,T3,VIMS,N,C_UV,Larvae,Virginia
ET213_S50,VIMS3_S4A_1,T3,S4,58,A,UV,20,T3,VIMS,N,S4_UV,Larvae,Virginia
ET214_S62,VIMS3_S4A_2,T3,S4,59,A,UV,20,T3,VIMS,N,S4_UV,Larvae,Virginia
ET215_S74,VIMS3_S4A_3,T3,S4,60,A,UV,20,T3,VIMS,N,S4_UV,Larvae,Virginia
ET216_S86,VIMS3_S4B_1,T3,S4,61,B,UV,21,T3,VIMS,N,S4_UV,Larvae,Virginia
ET217_S3,VIMS3_S4B_2,T3,S4,62,B,UV,21,T3,VIMS,N,S4_UV,Larvae,Virginia
ET218_S15,VIMS3_S4B_3,T3,S4,63,B,UV,21,T3,VIMS,N,S4_UV,Larvae,Virginia
ET219_S27,VIMS3_S4C_1,T3,S4,64,C,UV,22,T3,VIMS,N,S4_UV,Larvae,Virginia
ET220_S39,VIMS3_S4C_2,T3,S4,65,C,UV,22,T3,VIMS,N,S4_UV,Larvae,Virginia
ET221_S51,VIMS3_S4C_3,T3,S4,66,C,UV,22,T3,VIMS,N,S4_UV,Larvae,Virginia
ET222_S63,VIMS3_S4D_1,T3,S4,67,D,UV,23,T3,VIMS,N,S4_UV,Larvae,Virginia
ET223_S75,VIMS3_S4D_2,T3,S4,68,D,UV,23,T3,VIMS,N,S4_UV,Larvae,Virginia
ET224_S87,VIMS3_S4D_3,T3,S4,69,D,UV,23,T3,VIMS,N,S4_UV,Larvae,Virginia
ET225_S4,VIMS4_CONA_1,T4,C,70,A,UV,24,T4,VIMS,N,C_UV,Larvae,Virginia
ET226_S16,VIMS4_CONA_2,T4,C,71,A,UV,24,T4,VIMS,N,C_UV,Larvae,Virginia
ET227_S28,VIMS4_CONA_3,T4,C,72,A,UV,24,T4,VIMS,N,C_UV,Larvae,Virginia
ET228_S40,VIMS4_CONB_1,T4,C,73,B,UV,25,T4,VIMS,N,C_UV,Larvae,Virginia
ET229_S52,VIMS4_CONB_2,T4,C,74,B,UV,25,T4,VIMS,N,C_UV,Larvae,Virginia
ET230_S64,VIMS4_CONB_3,T4,C,75,B,UV,25,T4,VIMS,N,C_UV,Larvae,Virginia
ET231_S76,VIMS4_CONC_1,T4,C,76,C,UV,26,T4,VIMS,N,C_UV,Larvae,Virginia
ET232_S88,VIMS4_CONC_2,T4,C,77,C,UV,26,T4,VIMS,N,C_UV,Larvae,Virginia
ET233_S5,VIMS4_CONC_3,T4,C,78,C,UV,26,T4,VIMS,N,C_UV,Larvae,Virginia
ET234_S17,VIMS4_COND_1,T4,C,79,D,UV,27,T4,VIMS,N,C_UV,Larvae,Virginia
ET235_S29,VIMS4_COND_2,T4,C,80,D,UV,27,T4,VIMS,N,C_UV,Larvae,Virginia
ET236_S41,VIMS4_COND_3,T4,C,81,D,UV,27,T4,VIMS,N,C_UV,Larvae,Virginia
ET237_S53,VIMS4_S4A_1,T4,S4,82,A,UV,28,T4,VIMS,N,S4_UV,Larvae,Virginia
ET238_S65,VIMS4_S4A_2,T4,S4,83,A,UV,28,T4,VIMS,N,S4_UV,Larvae,Virginia
ET239_S77,VIMS4_S4A_3,T4,S4,84,A,UV,28,T4,VIMS,N,S4_UV,Larvae,Virginia
ET240_S89,VIMS4_S4B_1,T4,S4,85,B,UV,29,T4,VIMS,N,S4_UV,Larvae,Virginia
ET241_S6,VIMS4_S4B_2,T4,S4,86,B,UV,29,T4,VIMS,N,S4_UV,Larvae,Virginia
ET242_S18,VIMS4_S4B_3,T4,S4,87,B,UV,29,T4,VIMS,N,S4_UV,Larvae,Virginia
ET243_S30,VIMS4_S4C_1,T4,S4,88,C,UV,30,T4,VIMS,N,S4_UV,Larvae,Virginia
ET244_S42,VIMS4_S4C_2,T4,S4,89,C,UV,30,T4,VIMS,N,S4_UV,Larvae,Virginia
ET245_S54,VIMS4_S4C_3,T4,S4,90,C,UV,30,T4,VIMS,N,S4_UV,Larvae,Virginia
ET246_S66,VIMS4_S4D_1,T4,S4,91,D,UV,31,T4,VIMS,N,S4_UV,Larvae,Virginia
ET247_S78,VIMS4_S4D_2,T4,S4,92,D,UV,31,T4,VIMS,N,S4_UV,Larvae,Virginia
ET248_S90,VIMS4_S4D_3,T4,S4,93,D,UV,31,T4,VIMS,N,S4_UV,Larvae,Virginia
ET249_S7,CON_LAV_A1,T5,C,94,A,UV,32,T5,Mat,N,C_UV,Larvae,RhodeIsland
ET250_S19,CON_LAV_A2,T5,C,95,A,UV,32,T5,Mat,N,C_UV,Larvae,RhodeIsland
ET251_S31,CON_LAV_A3,T5,C,96,A,UV,32,T5,Mat,N,C_UV,Larvae,RhodeIsland
ET252_S43,CON_LAV_B1,T5,C,97,B,UV,33,T5,Mat,N,C_UV,Larvae,RhodeIsland
ET253_S55,CON_LAV_B2,T5,C,98,B,UV,33,T5,Mat,N,C_UV,Larvae,RhodeIsland
ET254_S67,CON_LAV_B3,T5,C,99,B,UV,33,T5,Mat,N,C_UV,Larvae,RhodeIsland
ET255_S79,S4_LAV_A1,T5,S4,100,A,UV,34,T5,Mat,N,S4_UV,Larvae,RhodeIsland
ET256_S91,S4_LAV_A2,T5,S4,101,A,UV,34,T5,Mat,N,S4_UV,Larvae,RhodeIsland
ET257_S8,S4_LAV_A3,T5,S4,102,A,UV,34,T5,Mat,N,S4_UV,Larvae,RhodeIsland
ET258_S20,S4_LAV_B1,T5,S4,103,B,UV,35,T5,Mat,N,S4_UV,Larvae,RhodeIsland
ET259_S32,S4_LAV_B2,T5,S4,104,B,UV,35,T5,Mat,N,S4_UV,Larvae,RhodeIsland
ET260_S44,S4_LAV_B3,T5,S4,105,B,UV,35,T5,Mat,N,S4_UV,Larvae,RhodeIsland
ET130_S40,Sta_CON_A1,T6,C,106,A,NUV,36,T6,MK,N,C_NUV,Larvae,Maine
ET131_S48,Sta_CON_A2,T6,C,107,A,NUV,36,T6,MK,N,C_NUV,Larvae,Maine
ET132_S56,Sta_CON_A3,T6,C,108,A,NUV,36,T6,MK,N,C_NUV,Larvae,Maine
ET133_S3,Sta_S4_A1,T6,S4,109,A,NUV,37,T6,MK,N,S4_NUV,Larvae,Maine
ET134_S11,Sta_S4_A2,T6,S4,110,A,NUV,37,T6,MK,N,S4_NUV,Larvae,Maine
ET135_S19,Sta_S4_A3,T6,S4,111,A,NUV,37,T6,MK,N,S4_NUV,Larvae,Maine
ET261_S56,NonUVCON_B1_A1,T7,C,133,A,NUV,45,T7,MK,N,C_NUV,Larvae,Maine
ET262_S68,NonUVCON_B1_A2,T7,C,134,A,NUV,45,T7,MK,N,C_NUV,Larvae,Maine
ET263_S80,NonUVCON_B1_A3,T7,C,135,A,NUV,45,T7,MK,N,C_NUV,Larvae,Maine
ET264_S92,NonUVCON_B2_A1,T7,C,136,B,NUV,46,T7,MK,N,C_NUV,Larvae,Maine
ET265_S9,NonUVCON_B2_A2,T7,C,137,B,NUV,46,T7,MK,N,C_NUV,Larvae,Maine
ET266_S21,NonUVCON_B2_A3,T7,C,138,B,NUV,46,T7,MK,N,C_NUV,Larvae,Maine
ET267_S33,NonUVCON_B3_A1,T7,C,139,C,NUV,47,T7,MK,N,C_NUV,Larvae,Maine
ET268_S45,NonUVCON_B3_A2,T7,C,140,C,NUV,47,T7,MK,N,C_NUV,Larvae,Maine
ET269_S57,NonUVCON_B3_A3,T7,C,141,C,NUV,47,T7,MK,N,C_NUV,Larvae,Maine
ET270_S69,NonUVCON_B4_A1,T7,C,142,D,NUV,48,T7,MK,N,C_NUV,Larvae,Maine
ET271_S81,NonUVCON_B4_A2,T7,C,143,D,NUV,48,T7,MK,N,C_NUV,Larvae,Maine
ET272_S93,NonUVCON_B4_A3,T7,C,144,D,NUV,48,T7,MK,N,C_NUV,Larvae,Maine
ET273_S10,NonUVS4_B5_A1,T7,S4,145,A,NUV,49,T7,MK,N,S4_NUV,Larvae,Maine
ET274_S22,NonUVS4_B5_A2,T7,S4,146,A,NUV,49,T7,MK,N,S4_NUV,Larvae,Maine
ET275_S34,NonUVS4_B5_A3,T7,S4,147,A,NUV,49,T7,MK,N,S4_NUV,Larvae,Maine
ET276_S46,NonUVS4_B6_A1,T7,S4,148,B,NUV,50,T7,MK,N,S4_NUV,Larvae,Maine
ET277_S58,NonUVS4_B6_A2,T7,S4,149,B,NUV,50,T7,MK,N,S4_NUV,Larvae,Maine
ET278_S70,NonUVS4_B6_A3,T7,S4,150,B,NUV,50,T7,MK,N,S4_NUV,Larvae,Maine
ET279_S82,NonUVS4_B7_A1,T7,S4,151,C,NUV,51,T7,MK,N,S4_NUV,Larvae,Maine
ET280_S94,NonUVS4_B7_A2,T7,S4,152,C,NUV,51,T7,MK,N,S4_NUV,Larvae,Maine
ET281_S11,NonUVS4_B7_A3,T7,S4,153,C,NUV,51,T7,MK,N,S4_NUV,Larvae,Maine
ET282_S23,NonUVS4_B8_A1,T7,S4,154,D,NUV,52,T7,MK,N,S4_NUV,Larvae,Maine
ET283_S35,NonUVS4_B8_A2,T7,S4,155,D,NUV,52,T7,MK,N,S4_NUV,Larvae,Maine
ET284_S47,NonUVS4_B8_A3,T7,S4,156,D,NUV,52,T7,MK,N,S4_NUV,Larvae,Maine
ET288_S95,NonUVL_CONA_1,T8,C,160,A,NUV,54,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET289_S12,NonUVL_CONA_2,T8,C,161,A,NUV,54,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET290_S24,NonUVL_CONA_3,T8,C,162,A,NUV,54,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET291_S36,NonUVL_CONB_1,T8,C,163,B,NUV,55,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET292_S48,NonUVL_CONB_2,T8,C,164,B,NUV,55,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET293_S60,NonUVL_CONB_3,T8,C,165,B,NUV,55,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET294_S72,NonUVL_CONC_1,T8,C,166,C,NUV,56,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET295_S84,NonUVL_CONC_2,T8,C,167,C,NUV,56,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET296_S96,NonUVL_CONC_3,T8,C,168,C,NUV,56,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET297_S97,NonUVL_S4A_1,T8,S4,169,A,NUV,57,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET298_S103,NonUVL_S4A_2,T8,S4,170,A,NUV,57,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET299_S109,NonUVL_S4A_3,T8,S4,171,A,NUV,57,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET300_S115,NonUVL_S4B_1,T8,S4,172,B,NUV,58,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET301_S121,NonUVL_S4B_2,T8,S4,173,B,NUV,58,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET302_S127,NonUVL_S4B_3,T8,S4,174,B,NUV,58,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET303_S133,NonUVL_S4C_1,T8,S4,175,C,NUV,59,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET304_S138,NonUVL_S4C_2,T8,S4,176,C,NUV,59,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET305_S98,NonUVL_S4C_3,T8,S4,177,C,NUV,59,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET306_S104,UVL_CONA_1,T8,C,178,A,UV,60,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET307_S110,UVL_CONA_2,T8,C,179,A,UV,60,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET308_S116,UVL_CONA_3,T8,C,180,A,UV,60,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET309_S122,UVL_CONB_1,T8,C,181,B,UV,61,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET310_S128,UVL_CONB_2,T8,C,182,B,UV,61,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET311_S134,UVL_CONB_3,T8,C,183,B,UV,61,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET312_S139,UVL_CONC_1,T8,C,184,C,UV,62,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET313_S99,UVL_CONC_2,T8,C,185,C,UV,62,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET314_S105,UVL_CONC_3,T8,C,186,C,UV,62,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET315_S111,UVL_S4A_1,T8,S4,187,A,UV,63,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET316_S117,UVL_S4A_2,T8,S4,188,A,UV,63,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET317_S123,UVL_S4A_3,T8,S4,189,A,UV,63,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET318_S129,UVL_S4B_1,T8,S4,190,B,UV,64,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET319_S135,UVL_S4B_2,T8,S4,191,B,UV,64,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET320_S140,UVL_S4B_3,T8,S4,192,B,UV,64,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET321_S100,UVL_S4C_1,T8,S4,193,C,UV,65,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET322_S106,UVL_S4C_2,T8,S4,194,C,UV,65,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET323_S112,UVL_S4C_3,T8,S4,195,C,UV,65,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland