"","performance","FeatureID","Taxa","Order","Genus","Correlation","p.adj"
"1","Growth Rate","ASV_271","ASV_271_Alphaproteobacteria_Unknown","o__Rhodobacterales","Unknown",0.801208131538764,1.29592187624723e-06
"2","Growth Rate","ASV_308","ASV_308_Bdellovibrionia_Peredibacter","o__Bacteriovoracales","Peredibacter",-0.785038952547104,2.54469340561623e-06
"3","Growth Rate","ASV_303","ASV_303_Alphaproteobacteria_Henriciella","o__Caulobacterales","Henriciella",0.773864701259686,4.08593198591788e-06
"4","Growth Rate","ASV_26","ASV_26_Gammaproteobacteria_Vibrio","o__Vibrionales","Vibrio",0.754182577102268,1.28513132653008e-05
"5","Growth Rate","ASV_34","ASV_34_Gammaproteobacteria_Unknown","Unknown","Unknown",0.733141891763431,4.13674796400684e-05
"6","Percentage Survival","ASV_813","ASV_813_Gammaproteobacteria_Unknown","Unknown","Unknown",0.690595235039382,0.000401328205338569
"7","Percentage Survival","ASV_437","ASV_437_Alphaproteobacteria_uncultured","o__Rhodobacterales","uncultured",0.680823089702135,0.000467521786732854
"8","Growth Rate","ASV_69","ASV_69_Alphaproteobacteria_Seohaeicola","o__Rhodobacterales","Seohaeicola",-0.679800262295961,0.000467521786732854
"9","Percentage Survival","ASV_964","ASV_964_Unknown_Unknown","Unknown","Unknown",0.683607791130263,0.000467521786732854
"10","Growth Rate","ASV_250","ASV_250_Alphaproteobacteria_Litorimicrobium","o__Rhodobacterales","Litorimicrobium",0.667891511715775,0.000758559697432705
"11","Percentage Survival","ASV_308","ASV_308_Bdellovibrionia_Peredibacter","o__Bacteriovoracales","Peredibacter",-0.662470923076333,0.000819493477571282
"12","Percentage Survival","ASV_554","ASV_554_Gammaproteobacteria_Alishewanella","o__Alteromonadales","Alishewanella",-0.662473625364591,0.000819493477571282
"13","Percentage Survival","ASV_369","ASV_369_Alphaproteobacteria_Erythrobacter","o__Sphingomonadales","Erythrobacter",-0.653877915357987,0.000927036789308213
"14","Growth Rate","ASV_457","ASV_457_Bacteroidia_uncultured","o__Cytophagales","uncultured",0.65719776139606,0.000927036789308213
"15","Percentage Survival","ASV_515","ASV_515_Bacteroidia_Unknown","o__Flavobacteriales","Unknown",0.653659112196843,0.000927036789308213
"16","Percentage Survival","ASV_885","ASV_885_Gammaproteobacteria_EC3","o__EC3","EC3",0.655556207682027,0.000927036789308213
"17","Percentage Survival","ASV_596","ASV_596_Bdellovibrionia_Peredibacter","o__Bacteriovoracales","Peredibacter",0.649711519899712,0.00104442105778924
"18","Growth Rate","ASV_257","ASV_257_Gammaproteobacteria_Cocleimonas","o__Thiotrichales","Cocleimonas",-0.6468192845918,0.00108666243013742
"19","Growth Rate","ASV_321","ASV_321_Gammaproteobacteria_Rheinheimera","o__Alteromonadales","Rheinheimera",-0.646355670184857,0.00108666243013742
"20","Growth Rate","ASV_505","ASV_505_Babeliae_Vermiphilaceae","o__Babeliales","Vermiphilaceae",0.639870440578294,0.00137473885622109
"21","Percentage Survival","ASV_169","ASV_169_Unknown_Unknown","Unknown","Unknown",0.632926088059761,0.00176639030491505
"22","Growth Rate","ASV_554","ASV_554_Gammaproteobacteria_Alishewanella","o__Alteromonadales","Alishewanella",-0.626672573720706,0.00219434663859477
"23","Growth Rate","ASV_369","ASV_369_Alphaproteobacteria_Erythrobacter","o__Sphingomonadales","Erythrobacter",-0.624329047968942,0.00229451983254796
"24","Percentage Survival","ASV_959","ASV_959_Gammaproteobacteria_Pseudomonas","o__Pseudomonadales","Pseudomonas",-0.623495793951311,0.00229451983254796
"25","Percentage Survival","ASV_133","ASV_133_Bacteroidia_Marinoscillum","o__Cytophagales","Marinoscillum",0.622274252967573,0.00231622444543929
"26","Growth Rate","ASV_25","ASV_25_Gammaproteobacteria_Unknown","Unknown","Unknown",0.613855654957743,0.00301469116197243
"27","Percentage Survival","ASV_455","ASV_455_Alphaproteobacteria_Pseudodonghicola","o__Rhodobacterales","Pseudodonghicola",0.614524299815438,0.00301469116197243
"28","Percentage Survival","ASV_171","ASV_171_Gammaproteobacteria_Unknown","Unknown","Unknown",0.609119067804694,0.00327216012155522
"29","Percentage Survival","ASV_506","ASV_506_Gracilibacteria_JGI_0000069-P22","o__JGI_0000069-P22","JGI_0000069-P22",-0.610739569047368,0.00327216012155522
"30","Percentage Survival","ASV_751","ASV_751_Polyangia_Haliangium","o__Haliangiales","Haliangium",-0.609534469711834,0.00327216012155522
"31","Growth Rate","ASV_263","ASV_263_OM190_OM190","o__OM190","OM190",0.607330381936091,0.00328992947806793
"32","Percentage Survival","ASV_353","ASV_353_Gammaproteobacteria_Unknown","Unknown","Unknown",-0.607833838780296,0.00328992947806793
"33","Growth Rate","ASV_136","ASV_136_Unknown_Unknown","Unknown","Unknown",0.605444528480615,0.00343285195355361
"34","Percentage Survival","ASV_156","ASV_156_Alphaproteobacteria_Marinibacterium","o__Rhodobacterales","Marinibacterium",0.60057418578824,0.00401761971212346
"35","Percentage Survival","ASV_375","ASV_375_Unknown_Unknown","Unknown","Unknown",0.598172274435968,0.00427540352118911
"36","Percentage Survival","ASV_257","ASV_257_Gammaproteobacteria_Cocleimonas","o__Thiotrichales","Cocleimonas",-0.596548636548999,0.00441906074024546
"37","Growth Rate","ASV_211","ASV_211_Gammaproteobacteria_Unknown","o__Burkholderiales","Unknown",0.590624456258308,0.00536080614777277
"38","Growth Rate","ASV_959","ASV_959_Gammaproteobacteria_Pseudomonas","o__Pseudomonadales","Pseudomonas",-0.587113899538366,0.00593657643926104
"39","Growth Rate","ASV_751","ASV_751_Polyangia_Haliangium","o__Haliangiales","Haliangium",-0.586159990186934,0.00598866118579655
"40","Percentage Survival","ASV_321","ASV_321_Gammaproteobacteria_Rheinheimera","o__Alteromonadales","Rheinheimera",-0.583154508554852,0.00650911856442598
"41","Percentage Survival","ASV_853","ASV_853_Verrucomicrobiae_uncultured","o__Verrucomicrobiales","uncultured",0.582108018775657,0.00659355906109352
"42","Growth Rate","ASV_506","ASV_506_Gracilibacteria_JGI_0000069-P22","o__JGI_0000069-P22","JGI_0000069-P22",-0.577158552460431,0.00767532551046585
"43","Percentage Survival","ASV_277","ASV_277_Alphaproteobacteria_Marivivens","o__Rhodobacterales","Marivivens",0.574533739477344,0.00803500112763295
"44","Growth Rate","ASV_353","ASV_353_Gammaproteobacteria_Unknown","Unknown","Unknown",-0.574530394446472,0.00803500112763295
"45","Growth Rate","ASV_476","ASV_476_Gammaproteobacteria_OM43_clade","o__Burkholderiales","OM43_clade",0.571328979638247,0.00878221695263475
"46","Growth Rate","ASV_252","ASV_252_Alphaproteobacteria_Ponticaulis","o__Caulobacterales","Ponticaulis",0.567329398761826,0.00964849035411635
"47","Percentage Survival","ASV_684","ASV_684_Bdellovibrionia_OM27_clade","o__Bdellovibrionales","OM27_clade",-0.56740642600259,0.00964849035411635
"48","Percentage Survival","ASV_22","ASV_22_Gammaproteobacteria_Unknown","Unknown","Unknown",0.564502820164944,0.0101928884324695
"49","Growth Rate","ASV_360","ASV_360_Gammaproteobacteria_Shewanella","o__Alteromonadales","Shewanella",0.564472521202059,0.0101928884324695
"50","Percentage Survival","ASV_569","ASV_569_Alphaproteobacteria_Limimaricola","o__Rhodobacterales","Limimaricola",-0.563893530616712,0.0101928884324695
"51","Growth Rate","ASV_275","ASV_275_Gammaproteobacteria_Unknown","o__Vibrionales","Unknown",-0.560891005304403,0.0110549395513597
"52","Growth Rate","ASV_75","ASV_75_Gammaproteobacteria_Unknown","Unknown","Unknown",-0.556527058206731,0.0125349966371718
"53","Percentage Survival","ASV_183","ASV_183_Gammaproteobacteria_Unknown","Unknown","Unknown",0.555899165386712,0.0125558050095687
"54","Percentage Survival","ASV_26","ASV_26_Gammaproteobacteria_Vibrio","o__Vibrionales","Vibrio",0.552765262796358,0.0136566513811651
"55","Growth Rate","ASV_206","ASV_206_Oligoflexia_uncultured","o__Oligoflexales","uncultured",-0.552118757357836,0.0136938191696973
"56","Growth Rate","ASV_435","ASV_435_Gammaproteobacteria_Unknown","Unknown","Unknown",0.551501693486881,0.0137219059979356
"57","Percentage Survival","ASV_591","ASV_591_Gammaproteobacteria_Unknown","o__Vibrionales","Unknown",0.550940938388902,0.0137288060479671
"58","Percentage Survival","ASV_1324","ASV_1324_Gammaproteobacteria_Unknown","o__Cellvibrionales","Unknown",-0.545143138883437,0.0159798986724933
"59","Growth Rate","ASV_450","ASV_450_Alphaproteobacteria_Unknown","o__Sphingomonadales","Unknown",0.545379251993516,0.0159798986724933
"60","Percentage Survival","ASV_263","ASV_263_OM190_OM190","o__OM190","OM190",0.54347143725559,0.0165704084375416
"61","Percentage Survival","ASV_645","ASV_645_Leptospirae_RBG-16-49-21","o__Leptospirales","RBG-16-49-21",-0.542393749704164,0.0168638039907083
"62","Growth Rate","ASV_548","ASV_548_Babeliae_Vermiphilaceae","o__Babeliales","Vermiphilaceae",0.541017816556986,0.0173267908781381
"63","Percentage Survival","ASV_586","ASV_586_Bdellovibrionia_Peredibacter","o__Bacteriovoracales","Peredibacter",0.540504753594212,0.0173287745542768
"64","Percentage Survival","ASV_44","ASV_44_Polyangia_uncultured","o__Nannocystales","uncultured",0.539510987060292,0.0175975513594445
"65","Growth Rate","ASV_253","ASV_253_Bacteroidia_Fabibacter","o__Cytophagales","Fabibacter",-0.534913277230624,0.019986818924277
"66","Percentage Survival","ASV_1325","ASV_1325_BD7-11_BD7-11","o__BD7-11","BD7-11",-0.533579652076502,0.0205087138027586
"67","Percentage Survival","ASV_11","ASV_11_Gammaproteobacteria_Pseudomonas","o__Pseudomonadales","Pseudomonas",0.532520160748442,0.0208696971572202
"68","Percentage Survival","ASV_432","ASV_432_Alphaproteobacteria_Brevundimonas","o__Caulobacterales","Brevundimonas",0.529909000073894,0.0222666842165256
"69","Growth Rate","ASV_51","ASV_51_Gammaproteobacteria_Arenicella","o__Arenicellales","Arenicella",0.528645125991547,0.0228007716638157
"70","Percentage Survival","ASV_441","ASV_441_Clostridia_Fusibacter","o__Peptostreptococcales-Tissierellales","Fusibacter",-0.526169407216299,0.0242156436418808
"71","Growth Rate","ASV_66","ASV_66_Gammaproteobacteria_Aliiglaciecola","o__Alteromonadales","Aliiglaciecola",0.524046397396175,0.0254401070453875
"72","Percentage Survival","ASV_76","ASV_76_Alphaproteobacteria_Erythrobacter","o__Sphingomonadales","Erythrobacter",0.523093681917211,0.0258085899275827
"73","Growth Rate","ASV_1325","ASV_1325_BD7-11_BD7-11","o__BD7-11","BD7-11",-0.521703567256943,0.0261683103637598
"74","Percentage Survival","ASV_505","ASV_505_Babeliae_Vermiphilaceae","o__Babeliales","Vermiphilaceae",0.521862296364359,0.0261683103637598
"75","Percentage Survival","ASV_275","ASV_275_Gammaproteobacteria_Unknown","o__Vibrionales","Unknown",-0.520600371168022,0.026675066404808
"76","Percentage Survival","ASV_24","ASV_24_Gammaproteobacteria_Vibrio","o__Vibrionales","Vibrio",0.519482235335757,0.0272054115454456
"77","Percentage Survival","ASV_414","ASV_414_Clostridia_Paramaledivibacter","o__Peptostreptococcales-Tissierellales","Paramaledivibacter",0.518985112216817,0.0272471512153629
"78","Percentage Survival","ASV_466","ASV_466_Gammaproteobacteria_Unknown","Unknown","Unknown",0.515926509449517,0.0294123863373329
"79","Growth Rate","ASV_354","ASV_354_Polyangia_uncultured","o__Polyangiales","uncultured",0.514828843119681,0.0299804604287852
"80","Percentage Survival","ASV_1270","ASV_1270_Bdellovibrionia_Peredibacter","o__Bacteriovoracales","Peredibacter",-0.513945974325642,0.0303720272760178
"81","Percentage Survival","ASV_456","ASV_456_Alphaproteobacteria_Ponticaulis","o__Caulobacterales","Ponticaulis",-0.513155142704732,0.0306898442052772
"82","Growth Rate","ASV_602","ASV_602_Babeliae_Vermiphilaceae","o__Babeliales","Vermiphilaceae",0.509209803645857,0.033945172253243
"83","Percentage Survival","ASV_760","ASV_760_Bacteroidia_Sediminibacterium","o__Chitinophagales","Sediminibacterium",-0.507601133896923,0.0351050359866936
"84","Growth Rate","ASV_984","ASV_984_Gammaproteobacteria_Coxiella","o__Coxiellales","Coxiella",0.507113613259647,0.0351695187324769
"85","Percentage Survival","ASV_1201","ASV_1201_Gammaproteobacteria_Unknown","Unknown","Unknown",0.505903553621823,0.0352984072711431
"86","Percentage Survival","ASV_1335","ASV_1335_Pla4_lineage_Pla4_lineage","o__Pla4_lineage","Pla4_lineage",-0.505146109108344,0.0352984072711431
"87","Percentage Survival","ASV_1680","ASV_1680_Gammaproteobacteria_Unknown","o__Oceanospirillales","Unknown",0.505484565462856,0.0352984072711431
"88","Growth Rate","ASV_40","ASV_40_Gammaproteobacteria_Methylophaga","o__Nitrosococcales","Methylophaga",-0.504537143189896,0.0352984072711431
"89","Growth Rate","ASV_462","ASV_462_Desulfuromonadia_PB19","o__PB19","PB19",0.504609951974335,0.0352984072711431
"90","Growth Rate","ASV_908","ASV_908_Alphaproteobacteria_AEGEAN-169_marine_group","o__Rhodospirillales","AEGEAN-169_marine_group",0.505029258819682,0.0352984072711431
"91","Percentage Survival","ASV_1186","ASV_1186_Alphaproteobacteria_Amaricoccus","o__Rhodobacterales","Amaricoccus",0.503536097980841,0.0359044741736831
